"geoid","race_white","race_black","race_aian","race_asian","race_nhpi","race_hispanic","below_poverty","unemployed","housing_burden","no_vehicle","living_alone","crowded_housing","internet"
440070020002,0.310344912257299,0.112295805517769,0,0.0281306889459812,0,0.505217711924511,0.292195961895145,0.133788016956164,0.478395088490118,0.108308581151766,0.286999156363706,0.0697329221114111,0.878986092163465
440070020003,0.273545528644451,0.38301944845582,0,0.0110168349228767,0,0.332129851800789,0.258051412508484,0.0502930642964957,0.317496285590382,0.23985964850538,0.184909280697864,0.111499425564929,0.864572339201732
440070020004,0.273306097300678,0.384798662958814,0,0.0109050284443251,0,0.330989485208854,0.257820472399746,0.0497654199601036,0.31641636342961,0.240778107903693,0.184212933704763,0.111789835812429,0.864478375577471
440070021011,0.347362887543759,0.26015968898845,0,0.000000814646252177616,0,0.390972961770328,0.0947490266682906,0.00000234970845108531,0.0000331770777066526,0.0391652659042836,0.53626285147111,0.0331359005797992,0.861198875385396
440070021012,0.419181551773424,0.184121944798697,0,0.00372413552197908,0,0.295022282121442,0.125363679686945,0.0469211578742027,0.678300906738059,0.0540895775475178,0.341031949037186,0.0216358310190071,0.837992521187758
440070021013,0.335048933593691,0.0651381623607423,0,0,0,0.500945152925216,0.198998749594718,0.0302257696339242,0.390491606715972,0.16658605665076,0.228439418203353,0.00376743279363384,0.855372966000082
440070021021,0.277694990948184,0.0545898876895572,0,0.0595465089436569,0,0.608099388548445,0.0725219828441655,0.0528948648085221,0.417513158717668,0.100371935991452,0.286649028574761,0.000254549985421645,0.874503882307793
440070021022,0.139225181598063,0.268765133171913,0,0.049636803874092,0,0.508474576271186,0.228813559322034,0.051685393258427,0.590643274853801,0.0474860335195531,0.395833333333333,0.103351955307263,0.940972222222222
440070021023,0.109148017275226,0.190812720848057,0,0,0,0.700039261876718,0.106792304672163,0.00819672131147541,0.255936675461741,0.13986013986014,0.233134920634921,0.0472027972027972,0.831349206349206
440070021024,0.157503714710253,0.345220406141654,0,0.0242694403169886,0,0.464091134224864,0.117880138682516,0.0601436265709156,0.573122529644269,0.00344827586206897,0.096322241681261,0.0396551724137931,0.933450087565674
440070021025,0.408767772511848,0.241706161137441,0,0,0,0.345971563981043,0.0936018957345972,0.111111111111111,0.723577235772358,0.205980066445183,0.129568106312292,0,0.887043189368771
440070022001,0.0485519591141397,0.390119250425894,0,0,0,0.522998296422487,0.2206132879046,0.0264900662251656,0.351190476190476,0.087557603686636,0.109947643979058,0,0.981675392670157
440070022002,0.0252707581227437,0.132026817947396,0,0,0,0.786487880350696,0.112944816915936,0.0718685831622177,0.54625550660793,0,0.0216962524654832,0.459504132231405,1
440070022003,0.18733819779807,0.231265992852081,0,0.108526710538276,0,0.472869098811572,0.422479394820711,0.0260585398239497,0.322115242381514,0.0642859570920348,0.255244663329419,0.000000151653650282412,0.999999298882388
440070022004,0.175,0.0284090909090909,0,0.169318181818182,0,0.597159090909091,0.110227272727273,0.0422960725075529,0.0743243243243243,0.170777988614801,0.164444444444444,0.0417457305502846,0.851111111111111
440070023001,0.53072625698324,0.121508379888268,0,0,0,0.347765363128492,0.255586592178771,0.10873786407767,0.537037037037037,0,0.134387351778656,0,0.932806324110672
440070023002,0.679764243614931,0.0353634577603143,0,0.0353634577603143,0,0.131630648330059,0.0412573673870334,0.0781563126252505,0.805785123966942,0.150735294117647,0.595698924731183,0,0.621505376344086
440070023003,0.513447432762836,0.178484107579462,0,0,0,0.249388753056235,0.0232273838630807,0.337690631808279,0,0,0,0,0.715481171548117
440070023004,0.952144970426949,0.0423332742719442,0,0.000685459278758022,0,0.00255143175982153,0.207145694958125,0.00126527820724829,0.549239027514466,0.221809689486429,0.3629034752449,0,0.993076420044849
440070023005,0.866761162296244,0.0687455705173636,0,0.0311835577604536,0,0.033309709425939,0.0233876683203402,0,0.145631067961165,0,0.288056206088993,0,1
440070023006,0.654584221748401,0.0298507462686567,0,0.245202558635394,0,0.070362473347548,0,0,0,0.0469314079422383,0.285714285714286,0,0.926267281105991
440070024001,0.671582882060273,0.0651300384883417,0,0.0575989566589473,0,0.171688737091219,0.117522694166249,0.0468330696240066,0.540650406815839,0.0550161783667761,0.268581082539834,0.00000000225503142739616,0.966216214568123
440070024002,0.524399512740706,0.0575844243491547,0,0,0,0.418016062910139,0.398345117530272,0.0329832491861811,0.538554923324255,0.0523836940153987,0.270921094453217,0,0.964072293350125
440070024003,0.72189349112426,0.0244082840236686,0,0,0,0.253698224852071,0.0155325443786982,0,0.490291262135922,0,0.315525876460768,0,0.923205342237062
440070024004,0.625342128919597,0.000000379953066637645,0,0.146457092585012,0,0.0967295890472293,0.277927907870232,0.000000180178511761939,0.767666871656284,0.121118499420229,0.0901532266874498,0.000000268049699482751,0.794657953658814
440070024005,0.418509630021078,0.111187553610268,0,0.0580109087134196,0,0.379833439000789,0.000000252324597234575,0.000000198509642379441,0.0247354770089983,0,0.253757220706383,0,1
440070024006,0.488375352747075,0.0736290693836416,0,0.0878879699566754,0,0.284202937574955,0.0938832732803099,0,0.135932413194328,0.0413104675016642,0.198991755729793,0,0.931264958381383
440070025001,0.419383259911894,0.0475770925110132,0,0.00969162995594714,0,0.46079295154185,0.288986784140969,0.0458452722063037,0.24207492795389,0.181008902077151,0.379381443298969,0,0.909278350515464
440070025002,0.669719193317327,0.167068786939411,0,0.0542594425195664,0,0.100107002560707,0.217905631411515,0.00840332565429903,0.481832863124218,0.0961436016951619,0.562933891673686,0.0249276736354645,0.987331284912546
440070026001,0.117647058823529,0.0381836945304438,0.0123839009287926,0.0928792569659443,0,0.656346749226006,0.192982456140351,0.0502645502645503,0.2,0.357259380097879,0.492985971943888,0.032626427406199,0.675350701402806
440070026002,0.553299492385787,0.0939086294416244,0,0,0,0.322335025380711,0.503807106598985,0.0920716112531969,0.454935622317597,0.268844221105528,0.296666666666667,0.0402010050251256,0.816666666666667
440070026003,0.107246376811594,0.107246376811594,0,0.0251207729468599,0,0.760386473429952,0.230917874396135,0.267702936096718,0.353488372093023,0.044921875,0.102150537634409,0.076171875,0.962365591397849
440070027001,0.366474938373048,0.231717337715694,0,0.0616269515201315,0,0.340180772391126,0.263763352506163,0.0848623853211009,0.206586826347305,0.326797385620915,0.39832285115304,0.0833333333333333,0.853249475890985
440070027002,0.282997624384588,0.290826610444073,0,0.0134227624615273,0.0234898343076728,0.389262910635841,0.475390254533573,0,0.707111395284373,0.294013582043883,0.680850565688556,0.000000505357863971149,0.588007291091321
440070027003,0.00649350649350649,0.126623376623377,0,0.0799512987012987,0,0.652597402597403,0.437905844155844,0.192660550458716,0.310965630114566,0.171679197994987,0.103053435114504,0.0914786967418546,0.885496183206107
440070027004,0.696381054988685,0.0565621045649668,0,0.107059400478506,0,0.124024494532336,0.0457369135795229,0.0222583264153628,0.546153846153846,0,0.324137931034483,0.0433333333333333,0.903448275862069
440070028001,0.303002464932752,0.337849978074011,0,0.0159728499662498,0,0.343174519579072,0.186834249726988,0.116898272077661,0.388888670883309,0.0936213626029923,0.336904564329666,0.0462961852751014,0.919047599206229
440070028002,0.236647485595353,0.279381415382589,0,0.000000496738261790336,0,0.466876256685407,0.342943844542671,0.128260772987935,0.551886366061024,0.256288063849535,0.561708435920005,0.1015831074294,0.744413048403017
440070028003,0.013555787278415,0.186652763295099,0,0.239833159541189,0,0.409801876955162,0.140771637122002,0.0535714285714286,0.408602150537634,0.0833333333333333,0.243323442136498,0.0592105263157895,1
440070028004,0.130146082337317,0.527224435590969,0,0,0,0.342629482071713,0.103585657370518,0.0789473684210526,0.503267973856209,0,0.512396694214876,0,0.867768595041322
440070029001,0.552300349424134,0.0523261372278416,0,0.0999851030034792,0,0.275599090948412,0.275559800467955,0.0000112134549175713,0.999826569786616,0.128906485211044,0.135922091984078,0.0418069186058438,0.735228870195022
440070029002,0.0819672131147541,0.119364754098361,0,0.389856557377049,0,0.35655737704918,0.218237704918033,0.0302724520686176,0.601823708206687,0.183356840620592,0.177740863787375,0.208744710860367,0.667774086378738
440070029003,0.32,0.0767567567567568,0,0,0,0.565405405405405,0.410810810810811,0,0.439759036144578,0.239277652370203,0.148409893992933,0,0.957597173144876
440070029004,0.25,0.021551724137931,0,0,0,0.667025862068966,0.178879310344828,0,0.396666666666667,0.157996146435453,0.538975501113586,0.136801541425819,0.461024498886414
