placekey,parent_placekey,location_name,top_category,latitude,longitude,street_address,city,region,postal_code,poi_cbg,total_visitors,rank
22d-222@62k-pxd-y9z,,Batista Bakery & Pastry,Bakeries and Tortilla Manufacturing,41.674436,-71.274995,75 Franklin St,Bristol,RI,02809,440010307001,186,3
229-222@62k-pxf-wtv,,Casual Inn,Restaurants and Other Eating Places,41.675375,-71.270334,170 Franklin St,Bristol,RI,02809,440010307001,157,4
22v-222@62k-pxd-yjv,,Cross Roads Ministries,Religious Organizations,41.676237,-71.274129,81 Oliver St,Bristol,RI,02809,440010307001,83,5
zzw-222@62k-pxf-t7q,,Common Pub & Grille,Drinking Places (Alcoholic Beverages),41.672707,-71.271902,421 Wood St,Bristol,RI,02809,440010307002,300,1
22n-222@62k-pxf-t7q,,Van's Spa,Restaurants and Other Eating Places,41.671824,-71.271572,359 Wood St,Bristol,RI,02809,440010307002,293,2
227-222@62k-pxd-ygk,,Azorian's Butcher Shop,Grocery Stores,41.674533,-71.272558,529 Wood St,Bristol,RI,02809,440010307002,189,3
zzw-222@62k-pxf-tgk,,Bristol's Stone Church Coffeehouse,"Promoters of Performing Arts, Sports, and Similar Events",41.672017,-71.273686,300 High St,Bristol,RI,02809,440010307002,174,4
22c-222@62k-pxf-tqf,,Cafe Central,Restaurants and Other Eating Places,41.673213,-71.272211,173 Bradford St,Bristol,RI,02809,440010307002,169,5
zzz-222@62k-pxf-4y9,,Town Common,Public Parks and Beaches,41.670277,-71.272807,Town Common,Bristol,RI,02809,440010307003,1591,1
22p-223@62k-pxf-v4v,,Pomodoro Pizzeria,Restaurants and Other Eating Places,41.668852,-71.270444,271 Wood St,Bristol,RI,02809,440010307003,179,2
zzw-222@62k-pxh-kzz,,Viola's Liquor Store,"Beer, Wine, and Liquor Stores",41.666944,-71.269697,219 Wood St,Bristol,RI,02809,440010307003,140,3
22g-222@62k-pxf-ty9,,Bristol Mart,Grocery Stores,41.668446,-71.270286,259 Wood St,Bristol,RI,02809,440010307003,110,4
22c-222@62k-pxf-5s5,,Spa Yadira,Personal Care Services,41.668008,-71.272505,182 High St,Bristol,RI,02809,440010307003,84,5
zzw-222@62k-pxf-649,,Thames Waterside Bar & Grill,Restaurants and Other Eating Places,41.670024,-71.279241,251 Thames St,Bristol,RI,02809,440010307004,1238,1
zzw-223@62k-pxd-x3q,,Portside Tavern,Restaurants and Other Eating Places,41.67315,-71.27858,444 Thames St,Bristol,RI,02809,440010307004,1123,2
zzz-222@62k-pxd-v2k,,Independance Park,Public Parks and Beaches,41.67414,-71.279475,Independance Park,Bristol,RI,02809,440010307004,842,3
zzw-222@62k-pxd-wrk,,Quito's,Restaurants and Other Eating Places,41.67253,-71.280018,411 Thames St,Bristol,RI,02809,440010307004,782,4
zzz-222@62k-pxf-5zz,,Rockwell Park,Public Parks and Beaches,41.669006,-71.277857,Rockwell Park,Bristol,RI,02809,440010307004,581,5
225-222@62k-pxb-7wk,,Pizza Hut,Restaurants and Other Eating Places,41.67749,-71.260371,381 Metacom Ave,Bristol,RI,02809,440010308001,651,1
zzw-222@62k-pxb-7t9,,Dunkin',Restaurants and Other Eating Places,41.677518,-71.260347,381 Metacom Ave,Bristol,RI,02809,440010308001,561,2
223-222@62k-pxb-7t9,,Jacky's Galaxie Bristol,Restaurants and Other Eating Places,41.677954,-71.260399,383 Metacom Ave,Bristol,RI,02809,440010308001,310,3
228-224@62k-pxb-9zz,,Classic Pizza,Restaurants and Other Eating Places,41.674872,-71.259611,349 Metacom Ave,Bristol,RI,02809,440010308001,273,4
zzz-222@62k-pxf-sbk,,Tanyard Reservoir,Public Parks and Beaches,41.671824,-71.266647,Tanyard Reservoir,Bristol,RI,02809,440010308001,155,5
226-222@62k-pxh-m49,,Andrade's Catch & Wholesale Shellfish,Specialty Food Stores,41.66616,-71.268932,186 Wood St,Bristol,RI,02809,440010308002,97,1
222-223@62k-pxb-gp9,,Bristol Buffet,Restaurants and Other Eating Places,41.670501,-71.260961,180 Mount Hope Ave,Bristol,RI,02809,440010308002,83,2
226-222@62k-pxh-hnq,,Four Franklin Salon,Personal Care Services,41.664482,-71.268349,130 Wood St,Bristol,RI,02809,440010308002,42,3
zzy-222@62k-pxh-kcq,,Mark Anthony De Wolf Lot Cemetery,Death Care Services,41.664318,-71.26245,Woodlawn Avenue,Bristol,RI,02809,440010308002,21,4
222-222@62k-pxb-gp9,,Bristol's Lil Angels Child Care Ll,Child Day Care Services,41.67051,-71.260978,180 Mount Hope Ave,Bristol,RI,02809,440010308002,,5
224-222@62k-pxg-t35,,The Lobster Pot,Restaurants and Other Eating Places,41.661234,-71.270785,119 Hope St,Bristol,RI,02809,440010308003,447,1
zzz-222@62k-pxg-dqf,,Blithewold,Public Parks and Beaches,41.654068,-71.267278,Blithewold,Bristol,RI,02809,440010308003,378,2
223-222@62k-pxf-33q,,Herreshoff Marine Museum,Public Parks and Beaches,41.6637,-71.272993,1 Burnside St,Bristol,RI,02809,440010308003,272,3
zzw-222@62k-pxg-djv,zzz-222@62k-pxg-dqf,Blithewold Mansion Gardens & Arboretum,Public Parks and Beaches,41.654005,-71.266015,101 Ferry Rd,Bristol,RI,02809,440010308003,266,4
zzz-222@62k-pxg-snq,,Walley Park,Public Parks and Beaches,41.662006,-71.272404,Walley Park,Bristol,RI,02809,440010308003,102,5
222-222@62k-pxg-mp9,,Roger Williams University School Of Law,"Colleges, Universities, and Professional Schools",41.650278,-71.260514,10 Metacom Ave,Bristol,RI,02809,440010308004,2162,1
zzw-222@62k-pxb-5pv,,Mount Hope Farm,Public Parks and Beaches,41.667123,-71.24127,Mount Hope Farm,Bristol,RI,02809,440010308004,476,2
zzy-222@62k-pxg-mp9,,Barnes & Noble At Roger Williams University Bookstore,Book Stores and News Dealers,41.650144,-71.260373,1 Old Ferry Road The Commons,Bristol,RI,02809,440010308004,228,3
222-222@62k-pxb-dvz,zzw-222@62k-pxb-5pv,Mount Hope Farm Farmers' Market,Specialty Food Stores,41.669449,-71.256806,250 Metacom Ave,Bristol,RI,02809,440010308004,60,4
222-223@62k-pxb-dvz,zzw-222@62k-pxb-5pv,Mount Hope Farm,Traveler Accommodation,41.669467,-71.256774,250 Metacom Ave,Bristol,RI,02809,440010308004,25,5
zzz-222@62k-q22-xwk,,Etelvina Court,Public Parks and Beaches,41.707407,-71.263812,Etelvina Court,Bristol,RI,02809,440010309011,137,1
zzw-223@62k-pzx-n5z,,Park,Public Parks and Beaches,41.704688,-71.256944,Park,Bristol,RI,02809,440010309011,111,2
224-222@62k-q23-389,,Cedarz Medical Center,Offices of Physicians,41.71239,-71.266966,812 Metacom Ave,Bristol,RI,02809,440010309011,78,3
224-222@62k-pxp-249,,Anchor's Away Travel,Travel Arrangement and Reservation Services,41.704953,-71.263612,5 Casey Dr,Bristol,RI,02809,440010309011,63,4
223-222@62k-pxm-syv,,Anytime Fitness,Other Amusement and Recreation Industries,41.693597,-71.262253,576 Metacom Ave,Bristol,RI,02809,440010309012,507,1
zzz-222@62k-pxj-89z,,Waypoyset Preserve,Public Parks and Beaches,41.697119,-71.249053,Waypoyset Preserve,Bristol,RI,02809,440010309012,269,2
zzz-222@62k-pxn-snq,,Sowams Playground,Other Amusement and Recreation Industries,41.690438,-71.257115,Sowams Playground,Bristol,RI,02809,440010309012,141,3
223-223@62k-pxm-syv,,Lucky Garden Chinese Restaurant,Restaurants and Other Eating Places,41.6939,-71.262237,576 Metacom Ave,Bristol,RI,02809,440010309012,128,4
zzz-222@62k-pxn-49z,,Leahys Pond,Public Parks and Beaches,41.689344,-71.258895,Leahys Pond,Bristol,RI,02809,440010309012,127,5
zzw-224@62k-pxb-cyv,,Cumberland Farms,Gasoline Stations,41.679636,-71.259739,390 Metacom Ave,Bristol,RI,02809,440010309013,977,1
zzw-223@62k-pxb-cyv,,CVS,Health and Personal Care Stores,41.680045,-71.25996,400 Metacom Ave,Bristol,RI,02809,440010309013,863,2
229-222@62k-pxb-d35,,Dunkin',Restaurants and Other Eating Places,41.681554,-71.260426,416 Metacom Ave,Bristol,RI,02809,440010309013,415,3
zzw-223@62k-pxb-cwk,,The Wave,Restaurants and Other Eating Places,41.680648,-71.259726,400 Metacom Ave,Bristol,RI,02809,440010309013,344,4
zzw-222@62k-pxb-cyv,,Bristol Wine & Liquor Mart,"Beer, Wine, and Liquor Stores",41.679494,-71.259741,390 Metacom Ave,Bristol,RI,02809,440010309013,324,5
zzw-223@62k-pxm-y5f,,Stop & Shop,Grocery Stores,41.69576,-71.266188,605 Metacom Ave,Bristol,RI,02809,440010309021,1622,1
226-224@62k-pyg-835,,1150 Hope St,Shopping Center,41.693266,-71.278331,1150 Hope St,Bristol,RI,02809,440010309021,911,2
